network,x_name,x_value,method,repeat,score,initial_state_mode,dataset_kind
SBM,seed_count,20,T-DQN,0,201.44375610351562,echo,synthetic
SBM,seed_count,20,MaxDegree,0,193.71524047851562,echo,synthetic
SBM,seed_count,20,Blocking,0,208.98056030273438,echo,synthetic
SBM,seed_count,20,MixStrategy,0,195.14962768554688,echo,synthetic
SBM,seed_count,20,CbC,0,198.70050048828125,echo,synthetic
SBM,seed_count,20,CI,0,205.67755126953125,echo,synthetic
SBM,seed_count,40,T-DQN,0,297.2969970703125,echo,synthetic
SBM,seed_count,40,MaxDegree,0,302.0474853515625,echo,synthetic
SBM,seed_count,40,Blocking,0,313.5738525390625,echo,synthetic
SBM,seed_count,40,MixStrategy,0,299.4493713378906,echo,synthetic
SBM,seed_count,40,CbC,0,294.7876281738281,echo,synthetic
SBM,seed_count,40,CI,0,309.15325927734375,echo,synthetic
SBM,seed_count,60,T-DQN,0,423.30780029296875,echo,synthetic
SBM,seed_count,60,MaxDegree,0,402.7541809082031,echo,synthetic
SBM,seed_count,60,Blocking,0,406.8504638671875,echo,synthetic
SBM,seed_count,60,MixStrategy,0,413.98516845703125,echo,synthetic
SBM,seed_count,60,CbC,0,385.00408935546875,echo,synthetic
SBM,seed_count,60,CI,0,407.7171936035156,echo,synthetic
SBM,time_steps,10,T-DQN,0,438.3704833984375,echo,synthetic
SBM,time_steps,10,MaxDegree,0,413.32073974609375,echo,synthetic
SBM,time_steps,10,Blocking,0,424.8226318359375,echo,synthetic
SBM,time_steps,10,MixStrategy,0,416.28338623046875,echo,synthetic
SBM,time_steps,10,CbC,0,410.0670166015625,echo,synthetic
SBM,time_steps,10,CI,0,418.656005859375,echo,synthetic
SBM,time_steps,20,T-DQN,0,359.4778137207031,echo,synthetic
SBM,time_steps,20,MaxDegree,0,338.469482421875,echo,synthetic
SBM,time_steps,20,Blocking,0,352.30133056640625,echo,synthetic
SBM,time_steps,20,MixStrategy,0,341.7044372558594,echo,synthetic
SBM,time_steps,20,CbC,0,335.7083740234375,echo,synthetic
SBM,time_steps,20,CI,0,346.4598388671875,echo,synthetic
SBM,time_steps,30,T-DQN,0,315.5978698730469,echo,synthetic
SBM,time_steps,30,MaxDegree,0,302.0474853515625,echo,synthetic
SBM,time_steps,30,Blocking,0,313.5738525390625,echo,synthetic
SBM,time_steps,30,MixStrategy,0,299.4493713378906,echo,synthetic
SBM,time_steps,30,CbC,0,294.7876281738281,echo,synthetic
SBM,time_steps,30,CI,0,309.15325927734375,echo,synthetic
SBM,time_steps,40,T-DQN,0,304.99658203125,echo,synthetic
SBM,time_steps,40,MaxDegree,0,289.2648010253906,echo,synthetic
SBM,time_steps,40,Blocking,0,294.789306640625,echo,synthetic
SBM,time_steps,40,MixStrategy,0,280.56890869140625,echo,synthetic
SBM,time_steps,40,CbC,0,278.0578308105469,echo,synthetic
SBM,time_steps,40,CI,0,287.5283508300781,echo,synthetic
