network,x_name,x_value,method,repeat,score,initial_state_mode,dataset_kind
BBV,seed_count,20,T-DQN,0,284.0086975097656,random,synthetic
BBV,seed_count,20,MaxDegree,0,275.14495849609375,random,synthetic
BBV,seed_count,20,Blocking,0,274.05316162109375,random,synthetic
BBV,seed_count,20,MixStrategy,0,275.14495849609375,random,synthetic
BBV,seed_count,20,CbC,0,274.1484375,random,synthetic
BBV,seed_count,20,CI,0,274.03179931640625,random,synthetic
BBV,seed_count,40,T-DQN,0,444.39874267578125,random,synthetic
BBV,seed_count,40,MaxDegree,0,437.164306640625,random,synthetic
BBV,seed_count,40,Blocking,0,438.966796875,random,synthetic
BBV,seed_count,40,MixStrategy,0,437.164306640625,random,synthetic
BBV,seed_count,40,CbC,0,437.164306640625,random,synthetic
BBV,seed_count,40,CI,0,433.99810791015625,random,synthetic
BBV,seed_count,60,T-DQN,0,569.234130859375,random,synthetic
BBV,seed_count,60,MaxDegree,0,566.904541015625,random,synthetic
BBV,seed_count,60,Blocking,0,569.2176513671875,random,synthetic
BBV,seed_count,60,MixStrategy,0,569.2176513671875,random,synthetic
BBV,seed_count,60,CbC,0,571.413330078125,random,synthetic
BBV,seed_count,60,CI,0,568.6669311523438,random,synthetic
SBM,seed_count,20,T-DQN,0,117.83628845214844,random,synthetic
SBM,seed_count,20,MaxDegree,0,100.64263916015625,random,synthetic
SBM,seed_count,20,Blocking,0,99.10311889648438,random,synthetic
SBM,seed_count,20,MixStrategy,0,105.28539276123047,random,synthetic
SBM,seed_count,20,CbC,0,88.28801727294922,random,synthetic
SBM,seed_count,20,CI,0,97.91978454589844,random,synthetic
SBM,seed_count,40,T-DQN,0,212.60501098632812,random,synthetic
SBM,seed_count,40,MaxDegree,0,204.23895263671875,random,synthetic
SBM,seed_count,40,Blocking,0,218.8995361328125,random,synthetic
SBM,seed_count,40,MixStrategy,0,216.58616638183594,random,synthetic
SBM,seed_count,40,CbC,0,204.65350341796875,random,synthetic
SBM,seed_count,40,CI,0,205.41143798828125,random,synthetic
SBM,seed_count,60,T-DQN,0,286.5184020996094,random,synthetic
SBM,seed_count,60,MaxDegree,0,318.3782958984375,random,synthetic
SBM,seed_count,60,Blocking,0,306.1644592285156,random,synthetic
SBM,seed_count,60,MixStrategy,0,316.954345703125,random,synthetic
SBM,seed_count,60,CbC,0,287.71527099609375,random,synthetic
SBM,seed_count,60,CI,0,294.79180908203125,random,synthetic
WS,seed_count,20,T-DQN,0,61.13473129272461,random,synthetic
WS,seed_count,20,MaxDegree,0,55.057960510253906,random,synthetic
WS,seed_count,20,Blocking,0,56.66947937011719,random,synthetic
WS,seed_count,20,MixStrategy,0,58.894805908203125,random,synthetic
WS,seed_count,20,CbC,0,59.742149353027344,random,synthetic
WS,seed_count,20,CI,0,62.746246337890625,random,synthetic
WS,seed_count,40,T-DQN,0,133.68075561523438,random,synthetic
WS,seed_count,40,MaxDegree,0,130.0523681640625,random,synthetic
WS,seed_count,40,Blocking,0,125.21464538574219,random,synthetic
WS,seed_count,40,MixStrategy,0,123.5752944946289,random,synthetic
WS,seed_count,40,CbC,0,115.1561279296875,random,synthetic
WS,seed_count,40,CI,0,129.78167724609375,random,synthetic
WS,seed_count,60,T-DQN,0,191.15841674804688,random,synthetic
WS,seed_count,60,MaxDegree,0,185.52865600585938,random,synthetic
WS,seed_count,60,Blocking,0,189.33197021484375,random,synthetic
WS,seed_count,60,MixStrategy,0,187.48069763183594,random,synthetic
WS,seed_count,60,CbC,0,162.9310760498047,random,synthetic
WS,seed_count,60,CI,0,191.54452514648438,random,synthetic
BitcoinOTC,seed_count,20,T-DQN,0,2366.923828125,random,real
BitcoinOTC,seed_count,20,MaxDegree,0,2362.474609375,random,real
BitcoinOTC,seed_count,20,Blocking,0,2362.818115234375,random,real
BitcoinOTC,seed_count,20,MixStrategy,0,2362.474609375,random,real
BitcoinOTC,seed_count,20,CbC,0,2327.301025390625,random,real
BitcoinOTC,seed_count,20,CI,0,2362.474609375,random,real
BitcoinOTC,seed_count,40,T-DQN,0,3052.04833984375,random,real
BitcoinOTC,seed_count,40,MaxDegree,0,3019.97705078125,random,real
BitcoinOTC,seed_count,40,Blocking,0,3031.24462890625,random,real
BitcoinOTC,seed_count,40,MixStrategy,0,3042.1240234375,random,real
BitcoinOTC,seed_count,40,CbC,0,3034.9580078125,random,real
BitcoinOTC,seed_count,40,CI,0,3020.1845703125,random,real
BitcoinOTC,seed_count,60,T-DQN,0,3394.271728515625,random,real
BitcoinOTC,seed_count,60,MaxDegree,0,3397.945556640625,random,real
BitcoinOTC,seed_count,60,Blocking,0,3359.4755859375,random,real
BitcoinOTC,seed_count,60,MixStrategy,0,3372.1240234375,random,real
BitcoinOTC,seed_count,60,CbC,0,3377.208984375,random,real
BitcoinOTC,seed_count,60,CI,0,3341.543212890625,random,real
