network,x_name,x_value,method,repeat,score,initial_state_mode,dataset_kind
BBV,time_steps,10,T-DQN,0,329.08636474609375,random,synthetic
BBV,time_steps,10,MaxDegree,0,337.3559265136719,random,synthetic
BBV,time_steps,10,Blocking,0,340.886962890625,random,synthetic
BBV,time_steps,10,MixStrategy,0,337.3559265136719,random,synthetic
BBV,time_steps,10,CbC,0,337.3559265136719,random,synthetic
BBV,time_steps,10,CI,0,338.39801025390625,random,synthetic
BBV,time_steps,20,T-DQN,0,419.5081787109375,random,synthetic
BBV,time_steps,20,MaxDegree,0,410.9997253417969,random,synthetic
BBV,time_steps,20,Blocking,0,412.43646240234375,random,synthetic
BBV,time_steps,20,MixStrategy,0,410.9997253417969,random,synthetic
BBV,time_steps,20,CbC,0,410.9997253417969,random,synthetic
BBV,time_steps,20,CI,0,408.08917236328125,random,synthetic
BBV,time_steps,30,T-DQN,0,432.0086669921875,random,synthetic
BBV,time_steps,30,MaxDegree,0,437.164306640625,random,synthetic
BBV,time_steps,30,Blocking,0,438.966796875,random,synthetic
BBV,time_steps,30,MixStrategy,0,437.164306640625,random,synthetic
BBV,time_steps,30,CbC,0,437.164306640625,random,synthetic
BBV,time_steps,30,CI,0,433.99810791015625,random,synthetic
BBV,time_steps,40,T-DQN,0,451.7934265136719,random,synthetic
BBV,time_steps,40,MaxDegree,0,445.952880859375,random,synthetic
BBV,time_steps,40,Blocking,0,448.4867858886719,random,synthetic
BBV,time_steps,40,MixStrategy,0,445.952880859375,random,synthetic
BBV,time_steps,40,CbC,0,445.952880859375,random,synthetic
BBV,time_steps,40,CI,0,444.0060729980469,random,synthetic
SBM,time_steps,10,T-DQN,0,157.30291748046875,random,synthetic
SBM,time_steps,10,MaxDegree,0,137.38450622558594,random,synthetic
SBM,time_steps,10,Blocking,0,154.28549194335938,random,synthetic
SBM,time_steps,10,MixStrategy,0,150.6531524658203,random,synthetic
SBM,time_steps,10,CbC,0,137.35321044921875,random,synthetic
SBM,time_steps,10,CI,0,142.29086303710938,random,synthetic
SBM,time_steps,20,T-DQN,0,198.96604919433594,random,synthetic
SBM,time_steps,20,MaxDegree,0,192.88104248046875,random,synthetic
SBM,time_steps,20,Blocking,0,203.58731079101562,random,synthetic
SBM,time_steps,20,MixStrategy,0,202.5426788330078,random,synthetic
SBM,time_steps,20,CbC,0,183.58680725097656,random,synthetic
SBM,time_steps,20,CI,0,191.7134246826172,random,synthetic
SBM,time_steps,30,T-DQN,0,224.85458374023438,random,synthetic
SBM,time_steps,30,MaxDegree,0,204.23895263671875,random,synthetic
SBM,time_steps,30,Blocking,0,218.8995361328125,random,synthetic
SBM,time_steps,30,MixStrategy,0,216.58616638183594,random,synthetic
SBM,time_steps,30,CbC,0,204.6535186767578,random,synthetic
SBM,time_steps,30,CI,0,205.41143798828125,random,synthetic
SBM,time_steps,40,T-DQN,0,226.32989501953125,random,synthetic
SBM,time_steps,40,MaxDegree,0,216.1718292236328,random,synthetic
SBM,time_steps,40,Blocking,0,228.7654266357422,random,synthetic
SBM,time_steps,40,MixStrategy,0,227.50503540039062,random,synthetic
SBM,time_steps,40,CbC,0,217.13507080078125,random,synthetic
SBM,time_steps,40,CI,0,215.6478271484375,random,synthetic
WS,time_steps,10,T-DQN,0,67.14939880371094,random,synthetic
WS,time_steps,10,MaxDegree,0,69.17557525634766,random,synthetic
WS,time_steps,10,Blocking,0,69.72544860839844,random,synthetic
WS,time_steps,10,MixStrategy,0,60.5578498840332,random,synthetic
WS,time_steps,10,CbC,0,67.01644897460938,random,synthetic
WS,time_steps,10,CI,0,73.74674224853516,random,synthetic
WS,time_steps,20,T-DQN,0,114.01023864746094,random,synthetic
WS,time_steps,20,MaxDegree,0,107.74504089355469,random,synthetic
WS,time_steps,20,Blocking,0,109.21357727050781,random,synthetic
WS,time_steps,20,MixStrategy,0,99.83932495117188,random,synthetic
WS,time_steps,20,CbC,0,99.19071960449219,random,synthetic
WS,time_steps,20,CI,0,112.22093200683594,random,synthetic
WS,time_steps,30,T-DQN,0,130.4072723388672,random,synthetic
WS,time_steps,30,MaxDegree,0,130.0523681640625,random,synthetic
WS,time_steps,30,Blocking,0,125.21465301513672,random,synthetic
WS,time_steps,30,MixStrategy,0,123.5752944946289,random,synthetic
WS,time_steps,30,CbC,0,115.1561279296875,random,synthetic
WS,time_steps,30,CI,0,129.78167724609375,random,synthetic
WS,time_steps,40,T-DQN,0,138.02731323242188,random,synthetic
WS,time_steps,40,MaxDegree,0,139.01010131835938,random,synthetic
WS,time_steps,40,Blocking,0,134.91078186035156,random,synthetic
WS,time_steps,40,MixStrategy,0,134.55313110351562,random,synthetic
WS,time_steps,40,CbC,0,123.3805160522461,random,synthetic
WS,time_steps,40,CI,0,138.62164306640625,random,synthetic
